True_Label,Predicted_Label,Text
1,1,@DylanMartinUSA I can not get any of your websites for ballot assistance. Its weird. I just get security error no matter what I do. funny tho I can connect to all the dem sites. somethings up.
0,0,"Sidder du med regnskabet i din virksomhed og føler dig på udebane?

Forstå vigtige regnskabsbegreber såsom debet/kredit, moms, afstemning, og meget mere. 

Klik herunder og download guiden nu."
1,1,@game_collection Yeah i’ve checked all my emails and i know for 100% sure i checked out with my account cause it made me sign in there was always an error at the final checkout stage on the website yesterday aswell
0,0,"@sudban1998 Hi Sudar, we understand your concern. Kindly DM the below details to assist you further: 
Whether you are on Wi-Fi or 4G/5G LTE when you encountered the error 
Have you tried using JioNews app in your handset: 
Kindly share the website used for watching JioNews
Awaiting (1/2)"
1,1,We're experiencing technical difficulties launching our new website today. We're waiting on technical support to resolve the error and we hope that our new site will go live as soon as possible.
0,0,@gaurav011235 Hi Gaurav! I would like to inform you that the error you're experiencing with the product tracking page may occur when the product is currently out of stock. It's not an issue with the website or app itself. We appreciate your understanding. - Jinika https://t.co/Q7OJclWvfR
,1,@KUCCPS_Official Your website is not at all functional. You select a course then you get error 500 since last week. what's going on?
0,0,"🩺Our Premium ‘High-Yield’ Study Notes Streamline Your Studies, Save You Time, AND Improve Your Exam Results!🎓

👍A MUST-HAVE for all #Medical, #MBBS, #MD, &amp; #MBChB students, as well as #PA, #Nursing, #PreMed, #USMLE &amp; Allied Health Students! 💊

🚨Up to 80% OFF! Link In Bio!"
1,1,"ini website buat daftar osn kok error terus ya dari kemarin? help plss

@Kemdikbud_RI https://t.co/d4xwRIMcj3"
0,1,"@TheCounterSgnl You can't even try to prove misinformation now using Canadian news.
Anytime you try to link to a Canadian news website, you get an error because it's illegal now."
0,0,"@Fatal_Error_G1 @StruthGaming apparently they have shipping to Brazil on their website, will try and get then next month, thanks for the help 😊"
0,0,"Buried in endless web data, but time is tight?

Manually collecting data is slow, painful, &amp; error-prone. ❌

We scrape website data for you, FAST &amp; CLEAN! ✨ Get accurate, organized data delivered directly. https://t.co/fjDwe0F2xp"
0,0,"Unshakable video stability is on its way!

#Zenfone11Ultra #ExpandYourVision will soon unveil a breakthrough in video recording. Witness steadiness like never before. Stay tuned for a reveal that's set to shake up the norm!"
1,1,"@udhaymastro Thank you for sharing the video of the error. At this point, we'd advise you to open a case through the Help Website to have our teams to look into this further for you. They will guide you in deeper troubleshooting steps and escalate to the relevant teams."
1,1,"@antekbaranski Are you referring to the https://t.co/RHRpGdKnhD website?

Are you receiving any error messages?

Which exact servers are you connected to when encountering the issue?

Have you tried multiple different servers?

Send us a DM with more details so we can investigate further. https://t.co/gYMWNy27QB"
1,1,"@anupama_writes the error, the error website URL, along with your contact details (full name, email ID, contact number), and some more details via DM so that we can assist you. (2/2) https://t.co/I8Mj90XLdq"
1,1,"@socialepfo Hi EPFO, getting this error while updating Bank KYC on the website.
I need to submit an urgent claim with a new bank account as the existing bank details mapped to the profile is not valid anymore. Please help! https://t.co/abyKIWb6cW"
0,0,"Just added 1h of videos to the DNS for Developers course ✨

𝗣𝗿𝗲-𝘀𝗮𝗹𝗲 𝗽𝗿𝗶𝗰𝗲 𝘄𝗶𝗹𝗹 𝗴𝗼 𝘂𝗽 𝗻𝗲𝘅𝘁 𝘄𝗲𝗲𝗸."
0,0,"@pranshu_dw2235 @pranshu_dw2235 Regarding your query on UIDAI Website, we would like to inform you that website is working fine now. We request you to please place your order again.  If you face any error on this, pls share a screenshot via direct message and we shal..."
0,0,"@lesstalk355 Hi, it seems to work fine on our end. Please try accessing our website using the link: https://t.co/dxMm3shmx5 In case you face any trouble, please DM us your contact number and error screenshot. Thanks!"
1,1,@TRH_London I just spent a whole hour in your Waiting for Godot queue only to receive an error message when I was finally directed to the website ☹️.
1,1,"@byadavbjp @socialepfo why doesnt epfo website work? how difficult it is to have an operating website? been trying to reset pswd for last 7 days, every time some stupid error. true amrut kal for salaried employees.."
1,1,"@hobbii_yarn do you have issues with your payment module on the website. Tried for 48hrs trying to purchase wool but keeps declining. Phoned the bank and everything ok on the client side. Tried computer, mobile web browsers and different IP addresses and still the same error."
0,0,"@SancastleAir @Quarter_Arcades Well, it means there's more of a chance of one actually working without ""Disc Error Stay Put"" over and over again"
1,1,Surely I’m not the only one that keeps getting an authentication error trying to login to @ApexTradeFund website? Anyone else having this issue?
1,1,"@marcocantu Cool!

If the book is not printed yet, you might want to consider putting the names as

MARCO CANTÙ | PAWEŁ GŁOWACKI

@pglowack really appreciated those little details.

Oh, and you might want to check out the blog-website logs. This error message went away after refreshing. https://t.co/XDXaAuPOm0"
0,0,Many failed before. Will YOU complete the trial?🧙‍♂️
1,1,"@sainsburys Big problems with ordering groceries on your website! Quantities change, don't get removed and just now 0.22kg red onions? Then an error message....."
1,1,"Hi @KUCCPS_Official at what time should one have ample time on your website without receiving notifications of server unavailable, 503 service error?
I am trying to log in this hour in vain.
Kindly help"
0,1,"Build better websites

Sometimes with Remix

The other times you just have to re-create: ephemeral optimistic data loading/mutations, solid request cancelation to avoid race conditions, nested routing, parallel data loading, streaming data, asset and data prefetching, error ha..."
1,1,"@sainsburys you app and website need attention, get an error code with every addition!! Please sort it out asap as need to do my shop before 11pm"
0,0,Don't overpay on Amazon again! You're welcome.
0,1,"@a_ezter Hi Ezter! While subscribing to OnePlus 12R Genshin Impact, you're encountering an error. Please be informed that Philippines is currently non serviceable region, hence you are not able to subscribe.  Stay tunned to OnePlus website and social media channels for announcements."
1,1,"@NakamotoGames Hello, can you help me? I am trying to register on the website but it does not work, when I go to confirm the profile it says error data"
1,1,"My favorite feature of OpenSea is when you open a bunch of listings in tabs and the website panics and they all error out. Then you have to close all the tabs, even the non-errored ones and start over. You have to open them very slowly, it startles easily."
1,1,"@HISSTANK hey!

I’m banned from your website, the message says: “You have been banned for the following reason:
Multiple accounts
Date the ban will be lifted: Never”
I can’t understand cause I have only one account. Are you sure it’s not an error?
Can you fix it?"
1,1,@Ian_Fraser @hopenothate This is a big story. So I'm guessing there's probably a high number of people trying to access the Hope not hate website that's causing the host error.
1,1,"@Jordand9528 Hi Jordan, 
Thanks for getting in touch with us, sorry to hear that you have had this experience.
This sounds like a failed order request, this can happen if there are issues with the website or an error in the middle. 
-Chris"
1,1,"@hopenothate I can't get onto your website to read this. Getting ""Bad gateway - error code 502 - visit cloudfire for more information""."
1,1,@itsmegurlzz bisaaa yaa?? katanya website juga error 😭😭😭
1,1,"@HiveHomeUK Is there a way of talking to anyone at Hive? The community website fails. The chat via my other option takes a long time, and the Community Hive option fails. Links in automated emails comes up with the error page 
and {""message"":""Forbidden""} 
Or there is this one: https://t.co/oGK2edEgF7"
1,1,"anjir sekelas aplikasi polri aja synchronize otp yg dia kasih sendiri aja error, lah elu yg ngasih masa semua alertnya kode salah anjir emosi banget lebih gampang daftar website online yg bertebaran dimana2"
1,1,"P.S. the website at the end of the video gives you an SSL error currently, but it's not quite ready to be live yet anyway... next couple days it'll be up with no error."
1,1,@WHD_DOL @USEEOC @WB_DOL @OSHA_DOL The registration process on the website is broken. When the form is completed it says 1 error. It says to enter year as a four digit number. The form does not show anywhere that a year can be entered. https://t.co/9i76FeNihd
1,1,"One of the Worst Application Services is 
@IRCTCofficial
.
India is moving forward to 5G Technology Still the Server is getting Error.
Then what is the purpose of These Technologies.
They will debit the money tickets will not be booked."
0,0,"I know, I was explaining the joke.
After 16 days, They finally fixed the game in a playable state (I hope everyone can play it now) 
Matchmaking seems fixed and no error and queue is possibly gone because they capped the server to 700k
Hopefully we can still play on the weekend."
1,1,Im a newbie in seafile.I install seafile on my nas server by manual. Every thing is OK but when I want to login to web interface by administrator account I get this error Failed to login org.springframework.jdbc.Bad
0,0,My Windows 10 desktop with the new Windows Server 2025 wallpaper (2/23/2024)
1,1,"@TXsecofstate
 Early Voting Turnout page seems to be down tonight. Anyone else seeing the 500 - Internal Server Error? 
@longhornderek"
1,1,"@Twitch
 
@TwitchSupport
 Trying to signup but unable to do so due to some error from the server side. Can you please look into?"
0,0,"Sorry for the inconveniences 
@yajllewor
 - this is an error message when the network lost the connection to the server. It's getting better now!"
0,1,Its a discord error you cant host images thru them anymore like i can get this done easy but its just the task of moving everything from my server to a different image hosting site and then reuploading the links
0,0,and people say javascript shouldnt be on the server... 0.01% error rate in the last year.
