Predicted_Label,Text
"(""★ Posted today! Reactjs - Next.js Error: Invariant: page wasn't built - 2 answers Unlock your future at https://t.co/xtZHfu7C6u **** See it at https://t.co/TlyfLAXpmE ***** #programmers #codingisfun #codingislife #website #questionandanswer #questionoftheday|"", '1')",★ Posted today! Reactjs - Next.js Error: Invariant: page wasn't built - 2 answers Unlock your future at https://t.co/xtZHfu7C6u **** See it at https://t.co/TlyfLAXpmE ***** #programmers #codingisfun #codingislife #website #questionandanswer #questionoftheday|
"('Gudrun er en af de 4500 danskere, der fra midten af 1940’ene og 40 år frem fik det hvide snit - det sidste blev udført i 1983. Behandlingen gjorde langt fra patienterne raske. Tværtimod. Bivirkningerne var omfattende og inkluderede epilepsi, inkontinens og tidlig demens.', '0')","Gudrun er en af de 4500 danskere, der fra midten af 1940’ene og 40 år frem fik det hvide snit - det sidste blev udført i 1983. Behandlingen gjorde langt fra patienterne raske. Tværtimod. Bivirkningerne var omfattende og inkluderede epilepsi, inkontinens og tidlig demens."
"('@_champagnezaddy i tried it, ana fatoora already bas 7ateet raseed just in case w bardo msh rady and i even tried on the spotify website and after like 7 times of error it went from this to this😭 https://t.co/doKPNnMd18', '1')","@_champagnezaddy i tried it, ana fatoora already bas 7ateet raseed just in case w bardo msh rady and i even tried on the spotify website and after like 7 times of error it went from this to this😭 https://t.co/doKPNnMd18"
"('The Nevada Secretary of State is out with a new statement apologizing for the errors in online voter histories.\n\n""No voter should ever look at the Secretary of State’s website and see inaccurate information. This was a technical error that should not have happened...""', '1')","The Nevada Secretary of State is out with a new statement apologizing for the errors in online voter histories.

""No voter should ever look at the Secretary of State’s website and see inaccurate information. This was a technical error that should not have happened..."""
"('@KEA_karnataka @CMofKarnataka @drmcsudhakar Sir too much error in website please extend the dates please 🙏 https://t.co/PikJlR0ca8', '1')",@KEA_karnataka @CMofKarnataka @drmcsudhakar Sir too much error in website please extend the dates please 🙏 https://t.co/PikJlR0ca8
"('@SBICard_Connect The fix from your team only lasted for 1 day and now again I am facing the same issue and cannot login to my account. Tried app as well as website but getting the same error.', '1')",@SBICard_Connect The fix from your team only lasted for 1 day and now again I am facing the same issue and cannot login to my account. Tried app as well as website but getting the same error.
"('@ATT @Crissa_Ace1 Any word on when cell service will be restored? Your website just says to use WiFi calling but when I try to enable that it requires an address but the link to input the address just gives a Bad Gateway error.', '1')",@ATT @Crissa_Ace1 Any word on when cell service will be restored? Your website just says to use WiFi calling but when I try to enable that it requires an address but the link to input the address just gives a Bad Gateway error.
"(""@Forward_Light @rafael_pin49857 @DavidSMilton1 His website gives an error that it's dangerous and not to proceed, and he's got an ad on Twitter, so he is most likely a MAGAt."", '1')","@Forward_Light @rafael_pin49857 @DavidSMilton1 His website gives an error that it's dangerous and not to proceed, and he's got an ad on Twitter, so he is most likely a MAGAt."
"('@MakeupFaded I understand the importance of having access to the app. Are you also receiving an error on https://t.co/78MpFFMAQz? If so, can you provide the full error and return code you receive on the website? \n-KC', '1')","@MakeupFaded I understand the importance of having access to the app. Are you also receiving an error on https://t.co/78MpFFMAQz? If so, can you provide the full error and return code you receive on the website? 
-KC"
"('@RiotJaker @gaurav011235 @WDepuk @VLRdotgg I took this from riot official website, there is also same kick off format in Pacific Kick Off Explanation. human error? https://t.co/IkY8IL9Fe5', '1')","@RiotJaker @gaurav011235 @WDepuk @VLRdotgg I took this from riot official website, there is also same kick off format in Pacific Kick Off Explanation. human error? https://t.co/IkY8IL9Fe5"
"(""updating our website's standard error page\n\nbrb https://t.co/YBQ1HPbti5"", '1')","updating our website's standard error page

brb https://t.co/YBQ1HPbti5"
"('@HoverStatus Please update your status as webmail unavailable 22nd Feb (UK). Unable to log in, now receiving error message to say website unavailable.', '1')","@HoverStatus Please update your status as webmail unavailable 22nd Feb (UK). Unable to log in, now receiving error message to say website unavailable."
"('@CTHouseDems the form on the contact page of your website does not work and returns a server error when I try to submit. Please fix ASAP and tell me how best to contact my reps in the meantime.', '1')",@CTHouseDems the form on the contact page of your website does not work and returns a server error when I try to submit. Please fix ASAP and tell me how best to contact my reps in the meantime.
"(""Hello @ECISVEEP, I have found a bug in your website voter ID. I'm not able to add my email ID to my profile it is showing me an error after clicking on the save button. Please fix it ASAP. And send me rewards for it. #voterid #websitebug https://t.co/scQ2oPpSFh"", '1')","Hello @ECISVEEP, I have found a bug in your website voter ID. I'm not able to add my email ID to my profile it is showing me an error after clicking on the save button. Please fix it ASAP. And send me rewards for it. #voterid #websitebug https://t.co/scQ2oPpSFh"
"('@joincommonwlth The website is FULL of ISSUES. IF you ignore all browser warnings to visit the website, then 7/10 times you try to login it fails and you get an error. \nFix your website first and then you can give us the 2,4 mil.', '1')","@joincommonwlth The website is FULL of ISSUES. IF you ignore all browser warnings to visit the website, then 7/10 times you try to login it fails and you get an error. 
Fix your website first and then you can give us the 2,4 mil."
"('@ATTHelp I run a business. iPhone stuck in SOS. Tried to switch to WiFi calling, getting an error on ATT website. NO BUENO!', '1')","@ATTHelp I run a business. iPhone stuck in SOS. Tried to switch to WiFi calling, getting an error on ATT website. NO BUENO!"
"('@PlayHAWKED Been working with support but legit can’t even play the game, I can’t even access the website unless I turn off my WiFi, even hard wired on my consoles I can’t access your servers, I get the 3001 or 2000 error code. Like to play it but I guess I can’t.', '1')","@PlayHAWKED Been working with support but legit can’t even play the game, I can’t even access the website unless I turn off my WiFi, even hard wired on my consoles I can’t access your servers, I get the 3001 or 2000 error code. Like to play it but I guess I can’t."
"(""@ShadowofEzra I tried to get on my health insurance website yesterday and I couldn't. It just kept throwing up an error message. That's very concerning."", '1')",@ShadowofEzra I tried to get on my health insurance website yesterday and I couldn't. It just kept throwing up an error message. That's very concerning.
"(""It appears we had an error in our setup for the Ballroom and Latin Silent Disco on Friday 15th March, in that you couldn't actually book it on our website 🤦\u200d♂️. \n\nThis has now been rectified and it should now be possible to book. \n\nAny issues let us know \n\nhttps://t.co/2NyHyHRzdP https://t.co/GS1Fwj2Obs"", '1')","It appears we had an error in our setup for the Ballroom and Latin Silent Disco on Friday 15th March, in that you couldn't actually book it on our website 🤦‍♂️. 

This has now been rectified and it should now be possible to book. 

Any issues let us know 

https://t.co/2NyHyHRzdP https://t.co/GS1Fwj2Obs"
"('What shareholders now want to hear from boards\n\nClick the image to read the full article\n\nPartner Content with @Workiva', '0')","What shareholders now want to hear from boards

Click the image to read the full article

Partner Content with @Workiva"
"('Halo temen2 buka jasa melayani: \n- perbaikan source code/codingan error✅\n- joki skripsi sistem informasi atau teknik informatika✅\n- pembuatan website dari 0, bisa menggunakan banyak framework✅️\ndll. \ncp https://t.co/9ubG3TfCeN  \n#zonauang #joki #skripsi #tugas #mahasiswa https://t.co/OPIiMAg1Jt', '0')","Halo temen2 buka jasa melayani: 
- perbaikan source code/codingan error✅
- joki skripsi sistem informasi atau teknik informatika✅
- pembuatan website dari 0, bisa menggunakan banyak framework✅️
dll. 
cp https://t.co/9ubG3TfCeN  
#zonauang #joki #skripsi #tugas #mahasiswa https://t.co/OPIiMAg1Jt"
"(""It appears we had an error in our setup for the Ballroom and Latin Silent Disco on Friday 15th March, in that you couldn't actually book it on our website 🤦\u200d♂️. \n\nThis has now been rectified and it should now be possible to book. \n\nAny issues let us know \n\nhttps://t.co/2NyHyHRzdP"", '1')","It appears we had an error in our setup for the Ballroom and Latin Silent Disco on Friday 15th March, in that you couldn't actually book it on our website 🤦‍♂️. 

This has now been rectified and it should now be possible to book. 

Any issues let us know 

https://t.co/2NyHyHRzdP"
"('@MyBGE, what is going on with your website?!?! I have been trying to start a service at a new location for over a week now, and your website keeps sending error messages. Whenever I try calling during office hours, your automated messages say your offices are closed!', '1')","@MyBGE, what is going on with your website?!?! I have been trying to start a service at a new location for over a week now, and your website keeps sending error messages. Whenever I try calling during office hours, your automated messages say your offices are closed!"
"('-Is Poppriceguide down for anyone else? Or just me? I went on the website and I keep getting an error.', '1')",-Is Poppriceguide down for anyone else? Or just me? I went on the website and I keep getting an error.
"('Steno Research is committed to delivering timely and actionable research, empowering you to stay ahead in a dynamic global landscape. With us, it’s about gaining a strategic edge for informed decision-making in the ever-evolving market.📈', '0')","Steno Research is committed to delivering timely and actionable research, empowering you to stay ahead in a dynamic global landscape. With us, it’s about gaining a strategic edge for informed decision-making in the ever-evolving market.📈"
"('What if when news organizations publish false information due to failure to conduct simple research or by printing speculation as fact (as opposed to genuine error such as a misspelled name), they were required to have their websites and social media accounts go dark and they…', '0')","What if when news organizations publish false information due to failure to conduct simple research or by printing speculation as fact (as opposed to genuine error such as a misspelled name), they were required to have their websites and social media accounts go dark and they…"
"('Beauty store\nuser-friendly website design\n\n#wordpress #websitedesign #webdevelopment #webdesigner #websitedeveloper #webdevelopers #elementor #elementorpro #elementorexpert #webdesign #elementorwebsite #error #errors #bugfixing https://t.co/M6krDyHDoe', '0')","Beauty store
user-friendly website design

#wordpress #websitedesign #webdevelopment #webdesigner #websitedeveloper #webdevelopers #elementor #elementorpro #elementorexpert #webdesign #elementorwebsite #error #errors #bugfixing https://t.co/M6krDyHDoe"
"(""@flyPAL What is this?  I've been trying to book my flight and keep getting this error even though the flights are showing available on your website. https://t.co/XqmMToR467"", '1')",@flyPAL What is this?  I've been trying to book my flight and keep getting this error even though the flights are showing available on your website. https://t.co/XqmMToR467
"('@DylanMartinUSA I can not get any of your websites for ballot assistance. Its weird. I just get security error no matter what I do. funny tho I can connect to all the dem sites. somethings up.', '1')",@DylanMartinUSA I can not get any of your websites for ballot assistance. Its weird. I just get security error no matter what I do. funny tho I can connect to all the dem sites. somethings up.
"('Sidder du med regnskabet i din virksomhed og føler dig på udebane?\n\nForstå vigtige regnskabsbegreber såsom debet/kredit, moms, afstemning, og meget mere. \n\nKlik herunder og download guiden nu.', '0')","Sidder du med regnskabet i din virksomhed og føler dig på udebane?

Forstå vigtige regnskabsbegreber såsom debet/kredit, moms, afstemning, og meget mere. 

Klik herunder og download guiden nu."
"('@game_collection Yeah i’ve checked all my emails and i know for 100% sure i checked out with my account cause it made me sign in there was always an error at the final checkout stage on the website yesterday aswell', '1')",@game_collection Yeah i’ve checked all my emails and i know for 100% sure i checked out with my account cause it made me sign in there was always an error at the final checkout stage on the website yesterday aswell
"('@sudban1998 Hi Sudar, we understand your concern. Kindly DM the below details to assist you further: \nWhether you are on Wi-Fi or 4G/5G LTE when you encountered the error \nHave you tried using JioNews app in your handset: \nKindly share the website used for watching JioNews\nAwaiting (1/2)', '0')","@sudban1998 Hi Sudar, we understand your concern. Kindly DM the below details to assist you further: 
Whether you are on Wi-Fi or 4G/5G LTE when you encountered the error 
Have you tried using JioNews app in your handset: 
Kindly share the website used for watching JioNews
Awaiting (1/2)"
"(""We're experiencing technical difficulties launching our new website today. We're waiting on technical support to resolve the error and we hope that our new site will go live as soon as possible."", '1')",We're experiencing technical difficulties launching our new website today. We're waiting on technical support to resolve the error and we hope that our new site will go live as soon as possible.
"(""@gaurav011235 Hi Gaurav! I would like to inform you that the error you're experiencing with the product tracking page may occur when the product is currently out of stock. It's not an issue with the website or app itself. We appreciate your understanding. - Jinika https://t.co/Q7OJclWvfR"", '0')",@gaurav011235 Hi Gaurav! I would like to inform you that the error you're experiencing with the product tracking page may occur when the product is currently out of stock. It's not an issue with the website or app itself. We appreciate your understanding. - Jinika https://t.co/Q7OJclWvfR
"(""@KUCCPS_Official Your website is not at all functional. You select a course then you get error 500 since last week. what's going on?"", '1')",@KUCCPS_Official Your website is not at all functional. You select a course then you get error 500 since last week. what's going on?
"('🩺Our Premium ‘High-Yield’ Study Notes Streamline Your Studies, Save You Time, AND Improve Your Exam Results!🎓\n\n👍A MUST-HAVE for all #Medical, #MBBS, #MD, &amp; #MBChB students, as well as #PA, #Nursing, #PreMed, #USMLE &amp; Allied Health Students! 💊\n\n🚨Up to 80% OFF! Link In Bio!', '0')","🩺Our Premium ‘High-Yield’ Study Notes Streamline Your Studies, Save You Time, AND Improve Your Exam Results!🎓

👍A MUST-HAVE for all #Medical, #MBBS, #MD, &amp; #MBChB students, as well as #PA, #Nursing, #PreMed, #USMLE &amp; Allied Health Students! 💊

🚨Up to 80% OFF! Link In Bio!"
"('ini website buat daftar osn kok error terus ya dari kemarin? help plss\n\n@Kemdikbud_RI https://t.co/d4xwRIMcj3', '1')","ini website buat daftar osn kok error terus ya dari kemarin? help plss

@Kemdikbud_RI https://t.co/d4xwRIMcj3"
"(""@TheCounterSgnl You can't even try to prove misinformation now using Canadian news.\nAnytime you try to link to a Canadian news website, you get an error because it's illegal now."", '1')","@TheCounterSgnl You can't even try to prove misinformation now using Canadian news.
Anytime you try to link to a Canadian news website, you get an error because it's illegal now."
"('@Fatal_Error_G1 @StruthGaming apparently they have shipping to Brazil on their website, will try and get then next month, thanks for the help 😊', '0')","@Fatal_Error_G1 @StruthGaming apparently they have shipping to Brazil on their website, will try and get then next month, thanks for the help 😊"
"('Buried in endless web data, but time is tight?\n\nManually collecting data is slow, painful, &amp; error-prone. ❌\n\nWe scrape website data for you, FAST &amp; CLEAN! ✨ Get accurate, organized data delivered directly. https://t.co/fjDwe0F2xp', '0')","Buried in endless web data, but time is tight?

Manually collecting data is slow, painful, &amp; error-prone. ❌

We scrape website data for you, FAST &amp; CLEAN! ✨ Get accurate, organized data delivered directly. https://t.co/fjDwe0F2xp"
"(""Unshakable video stability is on its way!\n\n#Zenfone11Ultra #ExpandYourVision will soon unveil a breakthrough in video recording. Witness steadiness like never before. Stay tuned for a reveal that's set to shake up the norm!"", '0')","Unshakable video stability is on its way!

#Zenfone11Ultra #ExpandYourVision will soon unveil a breakthrough in video recording. Witness steadiness like never before. Stay tuned for a reveal that's set to shake up the norm!"
"(""@udhaymastro Thank you for sharing the video of the error. At this point, we'd advise you to open a case through the Help Website to have our teams to look into this further for you. They will guide you in deeper troubleshooting steps and escalate to the relevant teams."", '1')","@udhaymastro Thank you for sharing the video of the error. At this point, we'd advise you to open a case through the Help Website to have our teams to look into this further for you. They will guide you in deeper troubleshooting steps and escalate to the relevant teams."
"('@antekbaranski Are you referring to the https://t.co/RHRpGdKnhD website?\n\nAre you receiving any error messages?\n\nWhich exact servers are you connected to when encountering the issue?\n\nHave you tried multiple different servers?\n\nSend us a DM with more details so we can investigate further. https://t.co/gYMWNy27QB', '1')","@antekbaranski Are you referring to the https://t.co/RHRpGdKnhD website?

Are you receiving any error messages?

Which exact servers are you connected to when encountering the issue?

Have you tried multiple different servers?

Send us a DM with more details so we can investigate further. https://t.co/gYMWNy27QB"
"('@anupama_writes the error, the error website URL, along with your contact details (full name, email ID, contact number), and some more details via DM so that we can assist you. (2/2) https://t.co/I8Mj90XLdq', '1')","@anupama_writes the error, the error website URL, along with your contact details (full name, email ID, contact number), and some more details via DM so that we can assist you. (2/2) https://t.co/I8Mj90XLdq"
"('@socialepfo Hi EPFO, getting this error while updating Bank KYC on the website.\nI need to submit an urgent claim with a new bank account as the existing bank details mapped to the profile is not valid anymore. Please help! https://t.co/abyKIWb6cW', '1')","@socialepfo Hi EPFO, getting this error while updating Bank KYC on the website.
I need to submit an urgent claim with a new bank account as the existing bank details mapped to the profile is not valid anymore. Please help! https://t.co/abyKIWb6cW"
"('Just added 1h of videos to the DNS for Developers course ✨\n\n𝗣𝗿𝗲-𝘀𝗮𝗹𝗲 𝗽𝗿𝗶𝗰𝗲 𝘄𝗶𝗹𝗹 𝗴𝗼 𝘂𝗽 𝗻𝗲𝘅𝘁 𝘄𝗲𝗲𝗸.', '0')","Just added 1h of videos to the DNS for Developers course ✨

𝗣𝗿𝗲-𝘀𝗮𝗹𝗲 𝗽𝗿𝗶𝗰𝗲 𝘄𝗶𝗹𝗹 𝗴𝗼 𝘂𝗽 𝗻𝗲𝘅𝘁 𝘄𝗲𝗲𝗸."
"('@pranshu_dw2235 @pranshu_dw2235 Regarding your query on UIDAI Website, we would like to inform you that website is working fine now. We request you to please place your order again.  If you face any error on this, pls share a screenshot via direct message and we shal...', '0')","@pranshu_dw2235 @pranshu_dw2235 Regarding your query on UIDAI Website, we would like to inform you that website is working fine now. We request you to please place your order again.  If you face any error on this, pls share a screenshot via direct message and we shal..."
"('@lesstalk355 Hi, it seems to work fine on our end. Please try accessing our website using the link: https://t.co/dxMm3shmx5 In case you face any trouble, please DM us your contact number and error screenshot. Thanks!', '0')","@lesstalk355 Hi, it seems to work fine on our end. Please try accessing our website using the link: https://t.co/dxMm3shmx5 In case you face any trouble, please DM us your contact number and error screenshot. Thanks!"
"('@TRH_London I just spent a whole hour in your Waiting for Godot queue only to receive an error message when I was finally directed to the website ☹️.', '1')",@TRH_London I just spent a whole hour in your Waiting for Godot queue only to receive an error message when I was finally directed to the website ☹️.
"('@byadavbjp @socialepfo why doesnt epfo website work? how difficult it is to have an operating website? been trying to reset pswd for last 7 days, every time some stupid error. true amrut kal for salaried employees..', '1')","@byadavbjp @socialepfo why doesnt epfo website work? how difficult it is to have an operating website? been trying to reset pswd for last 7 days, every time some stupid error. true amrut kal for salaried employees.."
"('@hobbii_yarn do you have issues with your payment module on the website. Tried for 48hrs trying to purchase wool but keeps declining. Phoned the bank and everything ok on the client side. Tried computer, mobile web browsers and different IP addresses and still the same error.', '1')","@hobbii_yarn do you have issues with your payment module on the website. Tried for 48hrs trying to purchase wool but keeps declining. Phoned the bank and everything ok on the client side. Tried computer, mobile web browsers and different IP addresses and still the same error."
"('@SancastleAir @Quarter_Arcades Well, it means there\'s more of a chance of one actually working without ""Disc Error Stay Put"" over and over again', '0')","@SancastleAir @Quarter_Arcades Well, it means there's more of a chance of one actually working without ""Disc Error Stay Put"" over and over again"
"('Surely I’m not the only one that keeps getting an authentication error trying to login to @ApexTradeFund website? Anyone else having this issue?', '1')",Surely I’m not the only one that keeps getting an authentication error trying to login to @ApexTradeFund website? Anyone else having this issue?
"('@marcocantu Cool!\n\nIf the book is not printed yet, you might want to consider putting the names as\n\nMARCO CANTÙ | PAWEŁ GŁOWACKI\n\n@pglowack really appreciated those little details.\n\nOh, and you might want to check out the blog-website logs. This error message went away after refreshing. https://t.co/XDXaAuPOm0', '1')","@marcocantu Cool!

If the book is not printed yet, you might want to consider putting the names as

MARCO CANTÙ | PAWEŁ GŁOWACKI

@pglowack really appreciated those little details.

Oh, and you might want to check out the blog-website logs. This error message went away after refreshing. https://t.co/XDXaAuPOm0"
"('Many failed before. Will YOU complete the trial?🧙\u200d♂️', '0')",Many failed before. Will YOU complete the trial?🧙‍♂️
"(""@sainsburys Big problems with ordering groceries on your website! Quantities change, don't get removed and just now 0.22kg red onions? Then an error message....."", '1')","@sainsburys Big problems with ordering groceries on your website! Quantities change, don't get removed and just now 0.22kg red onions? Then an error message....."
"('Hi @KUCCPS_Official at what time should one have ample time on your website without receiving notifications of server unavailable, 503 service error?\nI am trying to log in this hour in vain.\nKindly help', '1')","Hi @KUCCPS_Official at what time should one have ample time on your website without receiving notifications of server unavailable, 503 service error?
I am trying to log in this hour in vain.
Kindly help"
"('Build better websites\n\nSometimes with Remix\n\nThe other times you just have to re-create: ephemeral optimistic data loading/mutations, solid request cancelation to avoid race conditions, nested routing, parallel data loading, streaming data, asset and data prefetching, error ha...', '1')","Build better websites

Sometimes with Remix

The other times you just have to re-create: ephemeral optimistic data loading/mutations, solid request cancelation to avoid race conditions, nested routing, parallel data loading, streaming data, asset and data prefetching, error ha..."
"('@sainsburys you app and website need attention, get an error code with every addition!! Please sort it out asap as need to do my shop before 11pm', '1')","@sainsburys you app and website need attention, get an error code with every addition!! Please sort it out asap as need to do my shop before 11pm"
"(""Don't overpay on Amazon again! You're welcome."", '0')",Don't overpay on Amazon again! You're welcome.
"(""@a_ezter Hi Ezter! While subscribing to OnePlus 12R Genshin Impact, you're encountering an error. Please be informed that Philippines is currently non serviceable region, hence you are not able to subscribe.  Stay tunned to OnePlus website and social media channels for announcements."", '1')","@a_ezter Hi Ezter! While subscribing to OnePlus 12R Genshin Impact, you're encountering an error. Please be informed that Philippines is currently non serviceable region, hence you are not able to subscribe.  Stay tunned to OnePlus website and social media channels for announcements."
"('@NakamotoGames Hello, can you help me? I am trying to register on the website but it does not work, when I go to confirm the profile it says error data', '1')","@NakamotoGames Hello, can you help me? I am trying to register on the website but it does not work, when I go to confirm the profile it says error data"
"('My favorite feature of OpenSea is when you open a bunch of listings in tabs and the website panics and they all error out. Then you have to close all the tabs, even the non-errored ones and start over. You have to open them very slowly, it startles easily.', '1')","My favorite feature of OpenSea is when you open a bunch of listings in tabs and the website panics and they all error out. Then you have to close all the tabs, even the non-errored ones and start over. You have to open them very slowly, it startles easily."
"('@HISSTANK hey!\n\nI’m banned from your website, the message says: “You have been banned for the following reason:\nMultiple accounts\nDate the ban will be lifted: Never”\nI can’t understand cause I have only one account. Are you sure it’s not an error?\nCan you fix it?', '1')","@HISSTANK hey!

I’m banned from your website, the message says: “You have been banned for the following reason:
Multiple accounts
Date the ban will be lifted: Never”
I can’t understand cause I have only one account. Are you sure it’s not an error?
Can you fix it?"
"(""@Ian_Fraser @hopenothate This is a big story. So I'm guessing there's probably a high number of people trying to access the Hope not hate website that's causing the host error."", '1')",@Ian_Fraser @hopenothate This is a big story. So I'm guessing there's probably a high number of people trying to access the Hope not hate website that's causing the host error.
"('@Jordand9528 Hi Jordan, \nThanks for getting in touch with us, sorry to hear that you have had this experience.\nThis sounds like a failed order request, this can happen if there are issues with the website or an error in the middle. \n-Chris', '1')","@Jordand9528 Hi Jordan, 
Thanks for getting in touch with us, sorry to hear that you have had this experience.
This sounds like a failed order request, this can happen if there are issues with the website or an error in the middle. 
-Chris"
"('@hopenothate I can\'t get onto your website to read this. Getting ""Bad gateway - error code 502 - visit cloudfire for more information"".', '1')","@hopenothate I can't get onto your website to read this. Getting ""Bad gateway - error code 502 - visit cloudfire for more information""."
"('@itsmegurlzz bisaaa yaa?? katanya website juga error 😭😭😭', '1')",@itsmegurlzz bisaaa yaa?? katanya website juga error 😭😭😭
"('@HiveHomeUK Is there a way of talking to anyone at Hive? The community website fails. The chat via my other option takes a long time, and the Community Hive option fails. Links in automated emails comes up with the error page \nand {""message"":""Forbidden""} \nOr there is this one: https://t.co/oGK2edEgF7', '1')","@HiveHomeUK Is there a way of talking to anyone at Hive? The community website fails. The chat via my other option takes a long time, and the Community Hive option fails. Links in automated emails comes up with the error page 
and {""message"":""Forbidden""} 
Or there is this one: https://t.co/oGK2edEgF7"
